id;wave;age;male;religiousity;eduyears;rural;nzeuro;highestqual;rightwing;attitudechr;attitudemus;attitudehin;attitudebud;attitudejew;attitudeath;threatchr;threatmus;threathin;threatbud;threatjew;threatath;sciencefaith;measuredbothyears;notreligious;weight;neg_ms;neg_hd;neg_bd;neg_ch;neg_jw;neg_ath;thr_ms;thr_hd;thr_bd;thr_ch;thr_jw;thr_ath;a_c;a_10c;edu;rw_s;r_s;edu_s
6;2018;72;Male;4;12,0;Rural;1;4;8;3;3;3;3;3;3;4;4;4;4;4;4;5;1;1;0,816917336131841;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;22,444530046224962;2,2444530046224962;4;1,3257002738012613;-0,197859759896129;0,00686329137796273
6;2019;73;Male;4;NA;Rural;1;4;7;2;2;2;2;2;2;4;4;4;4;4;4;5;1;1;0,816917336131841;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;23,444530046224962;2,3444530046224963;4;0,8766397643886427;-0,197859759896129;0,00686329137796273
7;2018;46;Male;3;12,0;Rural;1;1;5;2;2;2;1;2;1;4;4;4;4;4;4;3;1;0;1,773282190032905;Somewhat positive;Somewhat positive;Very positive;Somewhat positive;Somewhat positive;Very positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;-3,555469953775038;-0,3555469953775038;1;-0,0214812544365946;-0,796559255182569;-1,26132043768337510
7;2019;47;Male;3;9,0;Rural;1;1;5;1;1;1;1;1;1;3;3;3;3;3;3;3;1;0;1,773282190032905;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not very threatening;2;-2,555469953775038;-0,2555469953775038;1;-0,0214812544365946;-0,796559255182569;-1,26132043768337510
8;2018;76;Male;4;18,0;Not Rural;1;6;8;2;3;3;3;3;3;3;2;3;3;3;3;1;1;1;1,435630545963820;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Neither negative nor positive;Somewhat threatening;Not very threatening;Not very threatening;Not very threatening;Not very threatening;2;26,444530046224962;2,6444530046224961;6;1,3257002738012613;-0,197859759896129;0,85231911075218802
8;2019;77;Male;4;17,0;Not Rural;1;6;8;3;4;3;3;3;3;3;2;3;3;3;3;5;1;1;1,435630545963820;Somewhat negative;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Somewhat threatening;Not very threatening;Not very threatening;Not very threatening;Not very threatening;2;27,444530046224962;2,7444530046224962;6;1,3257002738012613;-0,197859759896129;0,85231911075218802
9;2018;66;Male;4;14,0;Not Rural;1;5;8;1;2;2;2;1;1;4;3;3;3;4;4;3;1;0;1,444429642293159;Somewhat positive;Somewhat positive;Somewhat positive;Very positive;Very positive;Very positive;Not very threatening;Not very threatening;Not very threatening;Not threatening at all;Not threatening at all;1;16,444530046224962;1,6444530046224961;5;1,3257002738012613;-0,197859759896129;0,42959120106507537
9;2019;67;Male;5;15,0;NA;1;5;8;2;3;3;3;2;3;4;3;4;4;4;3;3;1;0;1,444429642293159;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Somewhat positive;Somewhat positive;Neither negative nor positive;Not very threatening;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;2;17,444530046224962;1,7444530046224962;5;1,3257002738012613;0,400839735390310;0,42959120106507537
10;2018;70;Not Male;5;17,0;Not Rural;1;1;5;3;3;3;3;3;3;4;4;4;4;4;4;5;1;0;1,675173422069380;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;20,444530046224962;2,0444530046224960;1;-0,0214812544365946;0,400839735390310;-1,26132043768337510
10;2019;71;Not Male;4;12,0;Not Rural;1;1;4;2;3;3;3;3;2;4;2;4;4;4;4;5;1;1;1,675173422069380;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Somewhat positive;Somewhat threatening;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;21,444530046224962;2,1444530046224961;1;-0,4705417638492133;-0,197859759896129;-1,26132043768337510
11;2018;21;Not Male;7;17,0;Not Rural;1;6;6;4;3;3;2;2;2;2;3;3;4;4;4;5;1;1;1,048261631056822;Neither negative nor positive;Neither negative nor positive;Somewhat positive;Somewhat negative;Somewhat positive;Somewhat positive;Not very threatening;Not very threatening;Not threatening at all;Somewhat threatening;Not threatening at all;1;-28,555469953775038;-2,8555469953775039;6;0,4275792549760240;1,598238725963189;0,85231911075218802
11;2019;22;Not Male;7;17,0;Not Rural;1;6;6;4;2;2;2;2;2;1;3;3;4;3;3;5;1;1;1,048261631056822;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat negative;Somewhat positive;Somewhat positive;Not very threatening;Not very threatening;Not threatening at all;Very threatening;Not very threatening;2;-27,555469953775038;-2,7555469953775038;6;0,4275792549760240;1,598238725963189;0,85231911075218802
12;2018;59;Not Male;6;12,0;Rural;1;1;2;3;5;3;3;4;3;3;1;3;3;2;3;5;1;1;1,089556932470764;Very Negative;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Somewhat negative;Neither negative nor positive;Very threatening;Not very threatening;Not very threatening;Not very threatening;Somewhat threatening;2;9,444530046224962;0,9444530046224962;1;-1,3686627826744506;0,999539230676750;-1,26132043768337510
12;2019;60;Not Male;6;13,0;Not Rural;1;1;2;3;4;3;3;4;3;3;2;3;3;2;3;NA;1;1;1,089556932470764;Somewhat negative;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Somewhat negative;Neither negative nor positive;Somewhat threatening;Not very threatening;Not very threatening;Not very threatening;Somewhat threatening;2;10,444530046224962;1,0444530046224962;1;-1,3686627826744506;0,999539230676750;-1,26132043768337510
13;2018;43;Male;6;15,0;Rural;1;4;7;3;3;3;3;3;3;3;3;3;3;3;3;4;1;1;1,786330647549695;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not very threatening;2;-6,555469953775038;-0,6555469953775038;4;0,8766397643886427;0,999539230676750;0,00686329137796273
13;2019;44;Male;7;14,0;Rural;1;4;7;3;3;3;3;3;3;2;3;3;3;3;3;5;1;1;1,786330647549695;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Not very threatening;Not very threatening;Not very threatening;Somewhat threatening;Not very threatening;2;-5,555469953775038;-0,5555469953775038;4;0,8766397643886427;1,598238725963189;0,00686329137796273
14;2018;60;Not Male;5;10,0;Not Rural;1;2;5;3;3;3;3;3;3;4;4;4;4;4;4;4;1;1;0,548865141532144;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;10,444530046224962;1,0444530046224962;2;-0,0214812544365946;0,400839735390310;-0,83859252799626249
14;2019;61;Not Male;6;10,0;Not Rural;1;2;6;3;3;3;3;3;3;4;4;4;4;4;4;5;1;1;0,548865141532144;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;11,444530046224962;1,1444530046224961;2;0,4275792549760240;0,999539230676750;-0,83859252799626249
15;2018;45;Male;7;17,0;Not Rural;1;7;3;3;3;3;3;3;2;4;3;4;4;4;4;5;1;1;0,573618768072805;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Somewhat positive;Not very threatening;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;-4,555469953775038;-0,4555469953775038;7;-0,9196022732618320;1,598238725963189;1,27504702043930052
15;2019;46;Male;6;18,0;Not Rural;1;7;3;3;3;3;3;3;3;4;4;4;4;4;4;5;1;1;0,573618768072805;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;-3,555469953775038;-0,3555469953775038;7;-0,9196022732618320;0,999539230676750;1,27504702043930052
16;2018;63;Male;3;11,0;Not Rural;1;1;7;2;5;3;3;3;3;3;1;NA;3;3;NA;4;1;0;0,346502561328871;Very Negative;Neither negative nor positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Neither negative nor positive;Very threatening;NA;Not very threatening;Not very threatening;Not very threatening;NA;13,444530046224962;1,3444530046224963;1;0,8766397643886427;-0,796559255182569;-1,26132043768337510
16;2019;64;Male;3;11,0;Not Rural;1;1;6;2;4;4;2;2;3;3;2;2;3;3;NA;3;1;0;0,346502561328871;Somewhat negative;Somewhat negative;Somewhat positive;Somewhat positive;Somewhat positive;Neither negative nor positive;Somewhat threatening;Somewhat threatening;Not very threatening;Not very threatening;Not very threatening;NA;14,444530046224962;1,4444530046224962;1;0,4275792549760240;-0,796559255182569;-1,26132043768337510
17;2018;45;Male;3;14,0;Not Rural;NA;2;5;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;0;0,635553127411665;NA;Neither negative nor positive;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-4,555469953775038;-0,4555469953775038;2;-0,0214812544365946;-0,796559255182569;-0,83859252799626249
17;2019;46;Male;3;14,0;Not Rural;NA;2;5;2;2;2;2;2;2;3;2;3;3;3;4;4;1;0;0,635553127411665;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat threatening;Not very threatening;Not very threatening;Not very threatening;Not very threatening;1;-3,555469953775038;-0,3555469953775038;2;-0,0214812544365946;-0,796559255182569;-0,83859252799626249
18;2018;29;Male;7;14,0;Not Rural;NA;6;NA;3;3;3;3;3;3;4;4;4;4;4;4;NA;1;1;0,557704980290356;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;-20,555469953775038;-2,0555469953775036;6;NA;1,598238725963189;0,85231911075218802
18;2019;30;Male;7;16,0;Not Rural;NA;6;5;3;3;3;3;3;3;4;4;4;4;4;4;4;1;1;0,557704980290356;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;-19,555469953775038;-1,9555469953775038;6;-0,0214812544365946;1,598238725963189;0,85231911075218802
19;2018;54;Not Male;5;16,0;Not Rural;1;4;5;2;2;2;2;2;2;4;4;4;4;4;4;4;1;0;0,599123471828103;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;4,444530046224962;0,4444530046224962;4;-0,0214812544365946;0,400839735390310;0,00686329137796273
19;2019;55;Not Male;4;15,0;Not Rural;1;5;5;2;2;2;2;2;2;4;4;4;4;4;4;5;1;0;0,599123471828103;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;5,444530046224962;0,5444530046224962;5;-0,0214812544365946;-0,197859759896129;0,42959120106507537
20;2018;64;Not Male;4;16,0;Not Rural;1;4;5;1;1;1;1;1;1;3;3;3;3;3;3;4;1;0;0,227012571894820;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not very threatening;2;14,444530046224962;1,4444530046224962;4;-0,0214812544365946;-0,197859759896129;0,00686329137796273
20;2019;65;Not Male;4;17,0;Not Rural;1;4;5;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;4;1;0;0,227012571894820;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;NA;NA;NA;NA;NA;NA;15,444530046224962;1,5444530046224962;4;-0,0214812544365946;-0,197859759896129;0,00686329137796273
21;2018;18;Male;7;14,0;Not Rural;1;3;NA;3;3;3;3;3;3;4;4;4;4;4;4;5;1;1;0,781177048528679;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;-31,555469953775038;-3,1555469953775037;3;NA;1,598238725963189;-0,41586461830914989
21;2019;19;Male;7;15,0;Not Rural;1;3;NA;3;3;3;3;3;3;3;4;NA;NA;4;3;5;1;1;0,781177048528679;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Not threatening at all;NA;NA;Not very threatening;Not threatening at all;2;-30,555469953775038;-3,0555469953775036;3;NA;1,598238725963189;-0,41586461830914989
22;2018;71;Not Male;5;14,0;Not Rural;1;5;4;3;3;3;3;3;3;3;3;4;4;3;4;4;1;1;0,730849306009527;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Not very threatening;Not threatening at all;Not threatening at all;Not very threatening;Not very threatening;1;21,444530046224962;2,1444530046224961;5;-0,4705417638492133;0,400839735390310;0,42959120106507537
22;2019;72;Not Male;5;16,0;Not Rural;1;5;3;3;3;3;3;3;3;3;3;4;4;3;3;4;1;1;0,730849306009527;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Not very threatening;Not threatening at all;Not threatening at all;Not very threatening;Not very threatening;2;22,444530046224962;2,2444530046224962;5;-0,9196022732618320;0,400839735390310;0,42959120106507537
23;2018;73;Not Male;7;10,0;Not Rural;NA;0;5;3;3;3;3;3;3;4;4;4;4;4;4;5;1;1;0,346502561328871;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;23,444530046224962;2,3444530046224963;0;-0,0214812544365946;1,598238725963189;-1,68404834737048770
23;2019;74;Not Male;5;14,0;Not Rural;NA;0;5;1;1;1;1;1;1;4;4;4;4;4;4;4;1;0;0,346502561328871;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;24,444530046224962;2,4444530046224964;0;-0,0214812544365946;0,400839735390310;-1,68404834737048770
24;2018;28;Not Male;6;16,0;Not Rural;NA;6;5;4;3;4;2;3;1;2;2;2;2;2;4;4;1;1;0,423232737043216;Neither negative nor positive;Somewhat negative;Somewhat positive;Somewhat negative;Neither negative nor positive;Very positive;Somewhat threatening;Somewhat threatening;Somewhat threatening;Somewhat threatening;Somewhat threatening;1;-21,555469953775038;-2,1555469953775037;6;-0,0214812544365946;0,999539230676750;0,85231911075218802
24;2019;29;Not Male;5;18,0;Not Rural;NA;7;5;3;3;3;3;3;1;2;NA;NA;3;NA;4;3;1;1;0,423232737043216;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Very positive;NA;NA;Not very threatening;Somewhat threatening;NA;1;-20,555469953775038;-2,0555469953775036;7;-0,0214812544365946;0,400839735390310;1,27504702043930052
25;2018;74;Male;2;14,0;Not Rural;NA;5;NA;1;1;1;1;1;3;4;4;4;4;4;4;2;1;0;0,287064100224942;Very positive;Very positive;Very positive;Very positive;Very positive;Neither negative nor positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;24,444530046224962;2,4444530046224964;5;NA;-1,395258750469008;0,42959120106507537
25;2019;75;Male;2;13,0;Not Rural;NA;4;NA;1;1;1;1;1;1;4;4;4;4;4;4;2;1;0;0,287064100224942;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;25,444530046224962;2,5444530046224960;4;NA;-1,395258750469008;0,00686329137796273
26;2018;61;Not Male;5;19,0;Not Rural;1;7;3;2;2;2;2;2;2;4;4;4;4;4;4;5;1;1;0,263883671858962;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;11,444530046224962;1,1444530046224961;7;-0,9196022732618320;0,400839735390310;1,27504702043930052
26;2019;62;Not Male;6;20,0;Not Rural;1;7;4;2;2;2;2;2;2;3;3;3;3;3;3;5;1;0;0,263883671858962;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not very threatening;2;12,444530046224962;1,2444530046224962;7;-0,4705417638492133;0,999539230676750;1,27504702043930052
27;2018;59;Not Male;4;16,0;Not Rural;1;4;5;3;3;3;3;3;3;4;NA;NA;NA;NA;NA;3;1;1;0,660144495974286;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;NA;NA;NA;Not threatening at all;NA;NA;9,444530046224962;0,9444530046224962;4;-0,0214812544365946;-0,197859759896129;0,00686329137796273
27;2019;60;NA;4;16,0;Not Rural;1;4;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;1;0,660144495974286;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10,444530046224962;1,0444530046224962;4;-0,0214812544365946;-0,197859759896129;0,00686329137796273
28;2018;72;Male;4;23,0;Not Rural;1;7;1;2;2;2;2;2;2;4;4;4;4;4;4;3;1;0;0,253753939728712;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;22,444530046224962;2,2444530046224962;7;-1,8177232920870694;-0,197859759896129;1,27504702043930052
28;2019;73;Male;3;22,0;Not Rural;1;7;0;2;2;2;2;2;2;3;3;3;3;3;3;5;1;0;0,253753939728712;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not very threatening;2;23,444530046224962;2,3444530046224963;7;-2,2667838014996882;-0,796559255182569;1,27504702043930052
29;2018;49;Male;6;14,0;Not Rural;1;2;2;2;2;2;1;2;2;4;4;4;4;4;4;5;1;1;1,245691930220798;Somewhat positive;Somewhat positive;Very positive;Somewhat positive;Somewhat positive;Somewhat positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;-0,555469953775038;-0,0555469953775038;2;-1,3686627826744506;0,999539230676750;-0,83859252799626249
29;2019;50;Male;4;17,0;Not Rural;1;3;2;2;2;2;2;2;2;4;4;4;4;4;4;5;1;0;1,245691930220798;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;0,444530046224962;0,0444530046224962;3;-1,3686627826744506;-0,197859759896129;-0,41586461830914989
30;2018;55;Male;3;15,0;Not Rural;NA;7;5;2;4;3;3;2;3;4;2;4;4;4;NA;4;1;0;1,412179066806341;Somewhat negative;Neither negative nor positive;Neither negative nor positive;Somewhat positive;Somewhat positive;Neither negative nor positive;Somewhat threatening;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;NA;5,444530046224962;0,5444530046224962;7;-0,0214812544365946;-0,796559255182569;1,27504702043930052
30;2019;56;Male;3;17,0;Not Rural;NA;7;5;2;4;2;2;2;2;3;2;4;4;3;3;5;1;0;1,412179066806341;Somewhat negative;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat threatening;Not threatening at all;Not threatening at all;Not very threatening;Not very threatening;2;6,444530046224962;0,6444530046224962;7;-0,0214812544365946;-0,796559255182569;1,27504702043930052
31;2018;41;Not Male;3;17,0;Not Rural;1;6;3;3;3;2;2;2;3;4;3;4;4;3;3;4;1;0;0,404093586890635;Neither negative nor positive;Somewhat positive;Somewhat positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Not very threatening;Not threatening at all;Not threatening at all;Not threatening at all;Not very threatening;2;-8,555469953775038;-0,8555469953775038;6;-0,9196022732618320;-0,796559255182569;0,85231911075218802
31;2019;42;Not Male;3;22,0;Not Rural;1;6;3;2;2;1;1;2;2;4;4;4;4;4;4;4;1;0;0,404093586890635;Somewhat positive;Very positive;Very positive;Somewhat positive;Somewhat positive;Somewhat positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;-7,555469953775038;-0,7555469953775038;6;-0,9196022732618320;-0,796559255182569;0,85231911075218802
32;2018;24;Not Male;7;13,0;Not Rural;1;3;5;3;3;3;3;3;3;4;4;4;4;4;4;5;1;1;0,372177490163839;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;-25,555469953775038;-2,5555469953775036;3;-0,0214812544365946;1,598238725963189;-0,41586461830914989
32;2019;25;Not Male;6;13,0;Not Rural;1;3;7;3;3;3;3;3;3;4;4;4;4;4;4;5;1;1;0,372177490163839;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;-24,555469953775038;-2,4555469953775040;3;0,8766397643886427;0,999539230676750;-0,41586461830914989
33;2018;43;Male;6;13,0;Not Rural;1;3;5;3;3;3;3;3;3;3;3;3;3;3;3;4;1;1;1,024357763376088;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not very threatening;2;-6,555469953775038;-0,6555469953775038;3;-0,0214812544365946;0,999539230676750;-0,41586461830914989
33;2019;44;Male;6;13,0;Not Rural;1;3;6;3;3;3;3;3;3;4;4;4;4;4;4;4;1;1;1,024357763376088;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;1;-5,555469953775038;-0,5555469953775038;3;0,4275792549760240;0,999539230676750;-0,41586461830914989
