id;age;male;eduyears;nzeuro;rightwing;neg_ath;neg_bd;neg_ch;neg_hd;neg_jw;neg_ms;thr_ath;thr_bd;thr_ch;thr_hd;thr_jw;rural;thr_ms;wave;religiosity
18;29;Male;14,0;NA;NA;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;7
18;30;Male;16,0;NA;5;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;7
19;54;Not Male;16,0;1;5;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;5
19;55;Not Male;15,0;1;5;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;4
20;64;Not Male;16,0;1;5;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2018;4
20;65;Not Male;17,0;1;5;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;NA;NA;NA;NA;NA;Not Rural;NA;2019;4
21;18;Male;14,0;1;NA;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;7
21;19;Male;15,0;1;NA;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;2;NA;Not very threatening;NA;Not threatening at all;Not Rural;Not threatening at all;2019;7
22;71;Not Male;14,0;1;4;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not very threatening;Not threatening at all;Not very threatening;Not Rural;Not very threatening;2018;5
22;72;Not Male;16,0;1;3;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;2;Not threatening at all;Not very threatening;Not threatening at all;Not very threatening;Not Rural;Not very threatening;2019;5
23;73;Not Male;10,0;NA;5;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;7
23;74;Not Male;14,0;NA;5;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;5
24;28;Not Male;16,0;NA;5;Very positive;Somewhat positive;Somewhat negative;Somewhat negative;Neither negative nor positive;Neither negative nor positive;1;Somewhat threatening;Somewhat threatening;Somewhat threatening;Somewhat threatening;Not Rural;Somewhat threatening;2018;6
24;29;Not Male;18,0;NA;5;Very positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not very threatening;Somewhat threatening;NA;NA;Not Rural;NA;2019;5
25;74;Male;14,0;NA;NA;Neither negative nor positive;Very positive;Very positive;Very positive;Very positive;Very positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;2
25;75;Male;13,0;NA;NA;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;2
26;61;Not Male;19,0;1;3;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;5
26;62;Not Male;20,0;1;4;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2019;6
27;59;Not Male;16,0;1;5;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;NA;NA;Not threatening at all;NA;NA;Not Rural;NA;2018;4
27;60;NA;16,0;1;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Not Rural;NA;2019;4
28;72;Male;23,0;1;1;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;4
28;73;Male;22,0;1;0;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2019;3
29;49;Male;14,0;1;2;Somewhat positive;Very positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;6
29;50;Male;17,0;1;2;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;4
30;55;Male;15,0;NA;5;Neither negative nor positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Somewhat positive;Somewhat negative;NA;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Somewhat threatening;2018;3
30;56;Male;17,0;NA;5;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat negative;2;Not threatening at all;Not very threatening;Not threatening at all;Not very threatening;Not Rural;Somewhat threatening;2019;3
31;41;Not Male;17,0;1;3;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Somewhat positive;Somewhat positive;Neither negative nor positive;2;Not threatening at all;Not threatening at all;Not threatening at all;Not very threatening;Not Rural;Not very threatening;2018;3
31;42;Not Male;22,0;1;3;Somewhat positive;Very positive;Somewhat positive;Very positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;3
32;24;Not Male;13,0;1;5;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;7
32;25;Not Male;13,0;1;7;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;6
33;43;Male;13,0;1;5;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2018;6
33;44;Male;13,0;1;6;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;6
34;27;Male;18,0;1;2;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;7
34;28;Male;18,0;1;3;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;7
35;63;Not Male;12,0;1;5;NA;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not very threatening;2018;5
35;64;NA;NA;1;5;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;NA;Not threatening at all;Not very threatening;Not very threatening;Not threatening at all;Not Rural;Not very threatening;2019;4
36;36;Male;19,0;1;7;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2018;4
36;37;Male;17,0;1;7;Somewhat positive;Very positive;Somewhat positive;Very positive;Somewhat positive;Somewhat positive;3;Not threatening at all;Not very threatening;Not threatening at all;Not threatening at all;Not Rural;Somewhat threatening;2019;5
37;59;Male;15,0;NA;8;Neither negative nor positive;Somewhat positive;Somewhat negative;Somewhat positive;Neither negative nor positive;Very Negative;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Somewhat threatening;2018;3
37;60;Male;15,0;NA;3;Somewhat positive;Very positive;Somewhat positive;Very positive;Somewhat positive;Somewhat negative;1;Not threatening at all;Not very threatening;Not threatening at all;Not threatening at all;Not Rural;Somewhat threatening;2019;3
38;44;Not Male;24,0;NA;8;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2018;3
38;45;Not Male;17,0;NA;6;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2019;6
39;27;Not Male;18,0;1;5;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2018;4
39;28;Not Male;17,0;1;4;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;5
40;55;Not Male;16,0;NA;5;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;3
40;56;Not Male;17,0;NA;5;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;3
41;69;Male;20,0;1;2;Neither negative nor positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;3
41;70;Male;21,0;1;3;Neither negative nor positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;3
42;45;Not Male;15,0;1;NA;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2018;4
42;46;Not Male;15,0;1;NA;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;4
43;57;Male;15,0;1;7;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Neither negative nor positive;Somewhat negative;2;Not threatening at all;Not very threatening;Not very threatening;Not very threatening;Not Rural;Somewhat threatening;2018;5
43;58;Male;12,0;1;5;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Somewhat negative;2;Not threatening at all;Not very threatening;Not very threatening;Somewhat threatening;Not Rural;Somewhat threatening;2019;6
44;66;Not Male;15,0;1;NA;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Somewhat threatening;Not threatening at all;Not threatening at all;Not Rural;Somewhat threatening;2018;6
44;67;Not Male;18,0;1;8;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2019;5
45;74;Not Male;12,0;1;5;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;NA;NA;Not very threatening;NA;Not very threatening;Not Rural;NA;2018;3
45;75;Not Male;13,0;1;NA;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;3
46;47;Not Male;18,0;1;5;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2018;3
46;48;Not Male;22,0;1;NA;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2019;3
47;18;Not Male;12,0;1;3;Very positive;Somewhat positive;Somewhat negative;Somewhat negative;Somewhat negative;Very Negative;1;Not threatening at all;Not very threatening;Not threatening at all;Not very threatening;Not Rural;Somewhat threatening;2018;7
47;19;Not Male;13,0;1;2;Very positive;Neither negative nor positive;Somewhat negative;Somewhat negative;Somewhat negative;Very Negative;1;Not threatening at all;Somewhat threatening;Not very threatening;Somewhat threatening;Not Rural;Somewhat threatening;2019;7
48;62;Not Male;15,0;1;4;Somewhat positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;NA;Not very threatening;Not threatening at all;Not very threatening;Not threatening at all;Not Rural;Not very threatening;2018;6
48;63;Not Male;15,0;NA;7;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;NA;NA;NA;NA;NA;Not Rural;NA;2019;6
49;67;Male;10,0;NA;8;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2018;5
49;68;Male;NA;NA;5;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not very threatening;Not threatening at all;Not very threatening;Not Rural;Not very threatening;2019;5
50;56;Male;12,0;1;5;Somewhat positive;NA;Neither negative nor positive;NA;Somewhat positive;Neither negative nor positive;2;Somewhat threatening;Somewhat threatening;Somewhat threatening;Not very threatening;Not Rural;Somewhat threatening;2018;5
50;57;Male;10,0;1;5;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Somewhat positive;Somewhat positive;Somewhat positive;2;Somewhat threatening;Somewhat threatening;Somewhat threatening;Somewhat threatening;Not Rural;Somewhat threatening;2019;5
51;73;Not Male;22,0;NA;8;Somewhat negative;Somewhat negative;Very positive;Somewhat negative;Somewhat positive;Somewhat negative;3;Not very threatening;Not threatening at all;Somewhat threatening;Not threatening at all;Not Rural;Somewhat threatening;2018;2
51;74;Not Male;22,0;NA;8;Somewhat negative;Somewhat negative;Very positive;Somewhat negative;Somewhat negative;Somewhat negative;3;Somewhat threatening;Not threatening at all;Somewhat threatening;Not very threatening;Not Rural;Somewhat threatening;2019;2
52;18;Not Male;13,0;1;4;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Somewhat negative;Very positive;Somewhat positive;3;Not very threatening;Not very threatening;Not very threatening;Not threatening at all;Not Rural;Not very threatening;2018;6
52;19;Not Male;14,0;1;4;Neither negative nor positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;3;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not very threatening;2019;NA
53;19;Male;NA;1;7;Very positive;Very positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat negative;2;Not threatening at all;Not very threatening;Not very threatening;Not very threatening;Not Rural;Very threatening;2018;7
53;20;Male;16,0;1;8;Very positive;Very positive;Very positive;Neither negative nor positive;Very positive;Somewhat negative;1;Not threatening at all;Not threatening at all;Somewhat threatening;Not threatening at all;Not Rural;Somewhat threatening;2019;6
54;29;Male;16,0;1;4;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2018;6
54;30;Male;16,0;1;3;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2019;5
55;73;Male;NA;1;9;Neither negative nor positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;2
55;74;Male;11,0;1;6;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not very threatening;2019;3
56;46;Not Male;13,0;1;10;Somewhat negative;Neither negative nor positive;Very positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;3;Not threatening at all;Not threatening at all;Somewhat threatening;Not very threatening;Not Rural;Somewhat threatening;2018;3
56;47;Not Male;13,0;1;9;Somewhat negative;Neither negative nor positive;Very positive;Somewhat negative;Neither negative nor positive;Somewhat negative;2;Not threatening at all;Not threatening at all;Somewhat threatening;Very threatening;Not Rural;Very threatening;2019;3
57;41;Male;12,0;1;3;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;3;Somewhat threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Somewhat threatening;2018;4
57;42;Male;12,0;1;2;Neither negative nor positive;Neither negative nor positive;Somewhat negative;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;5
58;42;Not Male;15,0;1;NA;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;2
58;43;Not Male;15,0;1;NA;Somewhat positive;Somewhat positive;Very positive;Somewhat positive;Somewhat positive;Somewhat positive;NA;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not very threatening;2019;2
59;59;Not Male;14,0;1;8;Neither negative nor positive;Somewhat negative;Very positive;Somewhat negative;Somewhat positive;Somewhat negative;3;Not very threatening;Not threatening at all;Not very threatening;Not threatening at all;Not Rural;Somewhat threatening;2018;2
59;60;Not Male;15,0;1;7;Neither negative nor positive;Somewhat negative;Very positive;Somewhat negative;Very positive;Somewhat negative;2;Not very threatening;Not threatening at all;Not very threatening;Not threatening at all;Not Rural;Not very threatening;2019;2
